,location,text
87,Shores of Lake Erie,"Democrats CANNOT stand to Not have ALL The Power. 

They’re so afraid of President Trump’s Success. 

When they do… https://t.co/aW1zaSCBHx"
88,"Antártica Chilena, Magallanes y La Antártica Chilena","@sebastianpinera acabo de oírlo decir desde el norte , ""el cambio climático llego para quedarse"". Espero le refrend… https://t.co/PrXY8oohrW"
89,A Happy Place.,https://t.co/qDqpGR5uEY Absolutely love @JeffBezos action. His private life is his and he can take whatever picture… https://t.co/Qqoj5bULmO
90,"Texas, USA","SerialBrain2 - The NO CAVE Strategy: How Trump played Nancy, Chuck and t... https://t.co/0V1gqeWvnI via @YouTube"
91,"Manly, Sydney",@mirandadevine @GreenJ @realDonaldTrump Yeah and I'm sure Trump Jr. was laughing at something other than genocide h… https://t.co/rOUYiOvQC1
92,Twin Cities,@EdKrassen @realDonaldTrump For the thousanths time. How and why immediately after every single Trump Tweet either… https://t.co/VP83QqR2LY
93,"Santa Barbara, CA. 🇺🇸 🌎 🌌","#Venezuela White supremest coup
https://t.co/dKCMBrrpV3 https://t.co/i9TgQOycjD"
94,"Minneapolis, MN",@svensundgaard @13wildhare tRump is so stupid he has no clue it's Feb in MN.  It's snow here.  In Feb. And it's abo… https://t.co/cnCzYNqHO8
95,Instagram,"@Bellyhungry No, I've seen a large number of Trump supporters say it 100% seriously."
96,"San Antonio, FL",There will be a day where Dimms will regret their treatment of the Trump presidency.  He wins in 2020 and red wave… https://t.co/ahj6dPR0iU
97,"Jamestown, PA","@GhostOfFoghat74 @KellyannePolls Here’s a paper on all the times he attempted to obstruct justice. And again, just… https://t.co/RrVWeD64jH"
98,"New Jersey, USA",@BryanJFischer @POLITICOMag But I guess it's ok for trump the serial sexual predator to be defiling OUR White House.
99,"Florida, USA",Talks collapse on border deal as another Trump created U.S. government shutdown looms - Reuters https://t.co/k0CRKtoFrt
100,everywhere....,"@TheRoot Isn't Joy Villa the same person who accused Corey Lewandowski, Donald Trump's former campaign manager, of sexual harassment?"
101,Shores of Lake Erie,"Democrats CANNOT stand to Not have ALL The Power. 

They’re so afraid of President Trump’s Success. 

When they do… https://t.co/aW1zaSCBHx"
102,"Antártica Chilena, Magallanes y La Antártica Chilena","@sebastianpinera acabo de oírlo decir desde el norte , ""el cambio climático llego para quedarse"". Espero le refrend… https://t.co/PrXY8oohrW"
103,A Happy Place.,https://t.co/qDqpGR5uEY Absolutely love @JeffBezos action. His private life is his and he can take whatever picture… https://t.co/Qqoj5bULmO
104,"Texas, USA","SerialBrain2 - The NO CAVE Strategy: How Trump played Nancy, Chuck and t... https://t.co/0V1gqeWvnI via @YouTube"
105,"Manly, Sydney",@mirandadevine @GreenJ @realDonaldTrump Yeah and I'm sure Trump Jr. was laughing at something other than genocide h… https://t.co/rOUYiOvQC1
106,Twin Cities,@EdKrassen @realDonaldTrump For the thousanths time. How and why immediately after every single Trump Tweet either… https://t.co/VP83QqR2LY
107,"Santa Barbara, CA. 🇺🇸 🌎 🌌","#Venezuela White supremest coup
https://t.co/dKCMBrrpV3 https://t.co/i9TgQOycjD"
